iter	Passed	Remaining
833	41409	8242
834	41458	8192
835	41498	8140
836	41534	8088
837	41571	8036
838	41608	7984
839	41648	7933
840	41687	7881
841	41741	7832
842	41799	7784
843	41845	7734
844	41905	7686
845	41955	7637
846	41995	7585
847	42035	7534
848	42085	7485
849	42146	7437
850	42204	7389
851	42266	7342
852	42307	7290
853	42348	7239
854	42403	7191
855	42465	7143
856	42506	7092
857	42545	7041
858	42585	6990
859	42626	6939
860	42664	6887
861	42705	6836
862	42745	6785
863	42796	6736
864	42838	6685
865	42879	6634
866	42919	6584
867	42963	6533
868	43007	6483
869	43049	6432
870	43091	6382
871	43132	6331
872	43174	6280
873	43220	6230
874	43262	6180
875	43304	6129
876	43351	6080
877	43394	6029
878	43441	5980
879	43480	5929
880	43526	5879
881	43571	5829
882	43620	5779
883	43668	5730
884	43730	5682
885	43773	5632
886	43816	5582
887	43886	5535
888	43932	5485
889	43981	5435
890	44029	5386
891	44077	5336
892	44121	5286
893	44167	5236
894	44214	5187
895	44272	5138
896	44319	5089
897	44365	5039
898	44421	4990
899	44470	4941
900	44516	4891
901	44559	4841
902	44606	4791
903	44650	4741
904	44693	4691
905	44759	4643
906	44805	4594
907	44851	4544
908	44896	4494
909	44943	4445
910	44992	4395
911	45038	4345
912	45089	4296
913	45140	4247
914	45188	4197
915	45239	4148
916	45284	4098
917	45329	4049
918	45376	3999
919	45427	3950
920	45504	3903
921	45555	3853
922	45607	3804
923	45678	3757
924	45735	3708
925	45784	3658
926	45843	3610
927	45890	3560
928	45938	3510
929	45994	3461
930	46038	3412
931	46083	3362
932	46127	3312
933	46193	3264
934	46262	3216
935	46306	3166
936	46352	3116
937	46397	3066
938	46439	3016
939	46478	2966
940	46529	2917
941	46580	2868
942	46634	2818
943	46679	2769
944	46721	2719
945	46765	2669
946	46807	2619
947	46847	2569
948	46890	2519
949	46940	2470
950	46981	2420
951	47023	2370
952	47086	2322
953	47138	2272
954	47216	2224
955	47276	2175
956	47319	2126
957	47371	2076
958	47436	2028
959	47491	1978
960	47533	1929
961	47576	1879
962	47618	1829
963	47667	1780
964	47709	1730
965	47751	1680
966	47803	1631
967	47862	1582
968	47902	1532
969	47943	1482
970	47983	1433
971	48025	1383
972	48066	1333
973	48107	1284
974	48152	1234
975	48216	1185
976	48259	1136
977	48325	1087
978	48374	1037
979	48423	988
980	48469	938
981	48517	889
982	48568	839
983	48637	790
984	48677	741
985	48728	691
986	48770	642
987	48833	593
988	48878	543
989	48945	494
990	48989	444
991	49066	395
992	49133	346
993	49213	297
994	49298	247
995	49341	198
996	49408	148
997	49449	99
998	49492	49
999	49543	0
